,0,1
2549,122418,53127
2554,106523,79326
2556,1270301,137204
2564,22935,50706
2565,22935,198518
2566,50706,198518
2567,22935,34215
2568,22935,25058
2573,57492,327827
2574,66074,66070
2575,66417,31777
2576,66417,39909
2579,31777,39909
2590,53965,492474
2595,13869,207103
2597,30011,92281
2598,14014,21125
2600,32446,7686
2607,1265468,944875
2608,24212,10995
2609,1625234,21742
2611,22910,21742
2619,66810,190328
2623,86495,132084
2627,65049,100752
2629,184921,2167941
2634,1322193,109832
2635,169049,215151
2636,169049,1039050
2637,215151,1039050
2643,100752,188242
2644,100752,38661
2645,100752,188242
2646,38661,188242
2647,52816,113497
2648,81056,100756
2649,100756,109832
2652,100756,174193
2653,239980,240528
2656,107771,50513
2657,86495,37907
2658,86495,173359
2659,86495,216097
2660,37907,173359
2661,37907,216097
2662,173359,216097
2663,376157,145858
2664,376157,367627
2665,145858,367627
2666,39837,60978
2667,39837,109832
2668,60978,109832
2672,174193,173506
2675,1033925,109832
2676,964370,137604
2677,108622,13727
2678,100752,528025
2680,175586,132084
2684,105453,100751
2685,1401232,325291
2686,52816,1441550
2687,158462,10991
2688,158462,174883
2689,10991,174883
2690,108622,620399
2691,39837,13726
2694,167543,184921
2696,17551,62571
2697,17551,132084
2698,17551,66154
2699,62571,132084
2700,62571,66154
2701,132084,66154
2703,222705,1215101
2710,100756,329714
2731,1103444,229665
2732,574981,100756
2733,574981,66154
2734,574981,145858
2735,574981,109513
2736,100756,66154
2737,100756,145858
2738,100756,109513
2739,66154,145858
2740,66154,109513
2741,145858,109513
2742,144758,164246
2746,37912,109513
2747,37912,53127
2748,109513,53127
2752,292681,1778977
2754,2875151,1502171
2755,1502171,357753
2756,1502171,1201210
2757,357753,1201210
2759,2545933,3518183
2760,3949713,419677
2761,5428976,109564
2762,3062379,1825654
2763,5681167,4938476
2764,792536,2044778
2767,4938476,3243777
2771,3755115,3791818
2772,3755115,3713444
2773,3791818,3713444
2774,3000913,419677
2775,333565,1615988
2776,1201210,3244227
2777,1201210,3259639
2778,3244227,3259639
2780,6042640,4938476
2781,50997,174747
2782,186837,50997
2783,120826,36158
2784,50513,132084
2785,211206,137880
2786,35848,37906
2787,138038,37906
2788,5648,31777
2789,5648,109832
2790,5648,39838
2791,5648,110153
2792,31777,109832
2793,31777,39838
2794,31777,110153
2795,109832,39838
2796,109832,110153
2797,39838,110153
2801,38561,53116
2802,38561,53127
2803,53116,53127
2804,4778,51369
2805,26246,51271
2806,39908,39909
2807,36100,90037
2808,209748,79578
2810,182673,37906
2812,182673,165375
2814,37906,165375
2816,197812,126433
2817,885103,35125
2818,60978,36099
2819,132084,66154
2820,51368,110844
2821,51368,177086
2822,110844,177086
2824,37906,90037
2825,41767,174381
2826,96151,26918
2829,120009,210316
2831,132084,53119
2832,105693,173758
2838,137880,1065010
2839,137880,38661
2840,1065010,38661
2843,182673,97139
2844,182673,36100
2845,97139,36100
2846,406165,37913
2847,406165,211211
2848,406165,37906
2849,37913,211211
2850,37913,37906
2851,211211,37906
2852,17587,50514
2853,17587,134136
2854,17587,175089
2855,50514,134136
2856,50514,175089
2857,134136,175089
2860,92281,111476
2861,212257,109513
2864,204617,60978
2865,180140,180818
2866,76242,109832
2868,52835,26918
2869,52835,43011
2870,52835,223808
2871,26918,43011
2872,26918,223808
2873,43011,223808
2877,136840,77859
2878,216095,37913
2879,216095,214297
2880,37913,214297
2881,24212,39908
2884,877929,494714
2885,75187,66147
2886,205201,110844
2887,6254568,110844
2888,1065010,383281
2889,80325,18844
2890,80325,6952
2891,80325,39600
2892,18844,6952
2893,18844,39600
2894,6952,39600
2895,1065010,174968
2902,134987,210793
2903,134987,22028
2904,210793,22028
2905,192718,8285
2906,132084,113497
2907,132084,66154
2908,132084,100756
2909,132084,109832
2910,113497,66154
2911,113497,100756
2912,113497,109832
2913,66154,100756
2914,66154,109832
2915,100756,109832
2917,170239,116237
2918,457961,122418
2919,457961,233184
2920,122418,233184
2922,86495,120307
2923,37908,60978
2924,66154,100756
2925,66154,132084
2926,66154,116227
2927,66154,173081
2928,66154,145858
2929,66154,173399
2930,100756,132084
2931,100756,116227
2932,100756,173081
2933,100756,145858
2934,100756,173399
2935,132084,116227
2936,132084,173081
2937,132084,145858
2938,132084,173399
2939,116227,173081
2940,116227,145858
2941,116227,173399
2942,173081,145858
2943,173081,173399
2944,145858,173399
2945,14753,358399
2946,51988,35135
2947,13727,14743
2948,130964,212257
2949,130964,60978
2950,212257,60978
2951,132084,157311
2953,210875,36100
2954,131961,67672
2963,209748,1065010
2966,22910,21742
2968,165375,45095
2969,165375,120307
2970,165375,177086
2971,165375,51988
2972,165375,137603
2973,45095,120307
2974,45095,177086
2975,45095,51988
2976,45095,137603
2977,120307,177086
2978,120307,51988
2979,120307,137603
2980,177086,51988
2981,177086,137603
2982,51988,137603
2983,119142,241513
2984,119142,180140
2985,119142,229665
2986,119142,181022
2987,119142,51988
2988,119142,1065010
2989,119142,205201
2990,241513,180140
2991,241513,229665
2992,241513,181022
2993,241513,51988
2994,241513,1065010
2995,241513,205201
2996,180140,229665
2997,180140,181022
2998,180140,51988
2999,180140,1065010
3000,180140,205201
3001,229665,181022
3002,229665,51988
3003,229665,1065010
3004,229665,205201
3005,181022,51988
3006,181022,1065010
3007,181022,205201
3008,51988,1065010
3009,51988,205201
3010,1065010,205201
3011,79578,38661
3012,79578,353608
3013,38661,353608
3014,1318016,647464
3016,52816,13732
3017,52816,179335
3018,52816,173399
3019,13732,179335
3020,13732,173399
3021,179335,173399
3022,52816,144828
3023,195198,165375
3025,234143,126064
3027,250359,137603
3035,37909,383281
3039,3269862,676432
3040,3269862,614963
3041,3269862,376312
3042,676432,614963
3043,676432,376312
3044,614963,376312
3048,178698,192718
3049,722712,26246
3050,722712,209748
3051,26246,209748
3052,356846,132084
3053,119142,241513
3054,885971,100752
3055,885971,261878
3056,885971,17587
3057,885971,14743
3058,100752,261878
3059,100752,17587
3060,100752,14743
3061,261878,17587
3062,261878,14743
3063,17587,14743
3065,38561,1065010
3066,38561,132084
3067,1065010,132084
3068,182673,97139
3069,182673,36100
3070,182673,13732
3071,97139,36100
3072,97139,13732
3073,36100,13732
3074,76242,109513
3075,76242,185582
3076,76242,197812
3077,76242,182673
3078,109513,185582
3079,109513,197812
3080,109513,182673
3081,185582,197812
3082,185582,182673
3083,197812,182673
3085,86495,184491
3086,86495,173377
3087,184491,173377
3089,232827,67039
3090,1043045,566785
3094,209286,181022
3095,747767,137880
3096,747767,137880
3100,36100,95080
3101,36100,326453
3102,36100,420349
3103,326453,420349
3104,48354,241513
3108,35848,145843
3109,76037,178698
3110,36100,357753
3111,36100,209286
3112,357753,209286
3113,2052339,374510
3114,2052339,180140
3115,374510,180140
3118,994608,494714
3119,52816,13732
3120,52816,179335
3121,13732,179335
3122,52816,109832
3130,212142,212972
3132,988770,58593
3133,142956,79578
3134,142956,209294
3135,79578,209294
3136,1502171,79578
3137,36158,120826
3138,36158,79578
3139,120826,79578
3140,132084,209294
3141,37913,38561
3143,35135,51272
3144,210875,21742
3145,406165,142956
3146,133640,270484
3147,133640,62134
3148,270484,62134
3154,76242,1103798
3167,419677,3232613
3168,215993,21742
3171,357753,97139
3172,357753,181022
3173,97139,181022
3174,111506,1569811
3175,182673,51352
3176,1101544,214299
3177,1101544,1898287
3178,214299,1898287
3180,209294,167644
3191,186837,21742
3194,347949,365048
3196,79578,165952
3199,297092,111506
3201,383281,137602
3202,373199,237908
3205,178698,45095
3210,232956,203724
3211,66154,132084
3212,51272,67039
3213,4778,52835
3215,176766,39829
3216,50513,107771
3217,137204,232815
3218,209294,79578
3219,209294,76487
3220,79578,76487
3228,53116,137602
3229,126157,38661
3230,126157,79578
3231,38661,79578
3235,173855,1065010
3236,209294,79578
