V1,V2
176751,58137
41233,58137
77180,70351
113499,113497
2162262,2162264
62571,1659884
209294,383281
209294,722712
209294,132084
383281,722712
383281,132084
722712,132084
383281,132084
45963,81951
103312,28496
1546718,1751938
168693,35746
1807222,195004
1807222,239084
195004,239084
9966,39713
9966,37308
39713,37308
9966,665194
3012941,2122149
3012941,2122150
2122149,2122150
96513,219249
1090634,1097696
2974857,2908290
715813,1143103
2810122,3901892
3576461,4128117
4328108,1373490
1206822,2467395
196704,196703
1546718,106720
25495,390896
1164330,926668
97743,118162
1214811,1214810
356288,193610
987744,242367
3081,3347237
3081,240724
3347237,240724
89012,938405
226265,997
84908,236587
342537,3854445
342537,1155985
342537,575675
3854445,1155985
3854445,575675
1155985,575675
104468,796144
54619,183879
50578,88398
50578,50576
50578,100293
50578,84310
88398,50576
88398,100293
88398,84310
50576,100293
50576,84310
100293,84310
1668782,2130201
285211,285212
285211,82663
285212,82663
133237,214118
14757,184924
14757,181644
14757,134904
14757,65081
184924,181644
184924,134904
184924,65081
181644,134904
181644,65081
134904,65081
18311,189545
104944,727107
104944,505026
727107,505026
40426,2202
